headline,article_url,article_text,keyword
"Labor fails diversity test in parliament, says new lobby group",http://www.theguardian.com/australia-news/2016/feb/26/labor-fails-diversity-test-in-federal-parliament-says-new-lobby-group,"Of the 226 senators and MPs, only 16% have one or more parent born in an overseas country other than Britain, founders of Poliversity say",Canberra
Law change 'will make farmers more vulnerable to gas company abuses',http://www.theguardian.com/environment/2016/feb/26/law-change-will-make-farmers-more-vulnerable-to-gas-company-abuses,,Queensland
Senate committee recommends the criminalisation of revenge porn,http://www.theguardian.com/australia-news/2016/feb/25/senate-committee-recommends-the-criminalisation-of-revenge-porn,,Internet laws
"Anti-bullying program is like child grooming, says Nationals MP George Christensen",http://www.theguardian.com/australia-news/2016/feb/25/safe-schools-is-like-child-grooming-says-nationals-mp-george-christensen,,Safe Schools
"Dick Smith to close all 363 stores with nearly 3,000 staff to lose jobs",http://www.theguardian.com/australia-news/2016/feb/25/dick-smith-to-close-all-363-stores-with-nearly-3000-staff-to-lose-jobs,,Retail
Stakes raised for black-throated finch's largest remaining habitat on Adani mine site,http://www.theguardian.com/environment/2016/feb/25/black-throated-finchs-nsw-demise-raises-stakes-for-adani-mine-site-habitat,,Environment
Safety fears for transgender woman in solitary confinement in men's prison,http://www.theguardian.com/australia-news/2016/feb/25/safety-fears-for-transgender-woman-in-solitary-confinement-in-mens-prison,,WA
Putin's alleged son-in-law in top 10 list of Russian state contract winners,http://www.theguardian.com/world/2016/feb/25/putins-alleged-son-in-law-in-top-10-list-of-russian-state-contract-winners,Kirill Shamalov is fourth in the annual ranking by the Russian edition of Forbes magazine,Russia
"Former Mexican president blasts Trump, says he will not pay for wall",http://www.theguardian.com/us-news/2016/feb/25/donald-trump-former-mexico-president-vincente-fox-im-not-paying-for-wall,Vincente Fox’s comments come after Donald Trump has repeatedly vowed to make Mexico pay for a wall to seal off the United States’ border with Mexico,US elections
Obama revives anti-slavery law to target Thailand's seafood exports,http://www.theguardian.com/world/2016/feb/26/obama-revives-anti-slavery-law-to-target-thailands-seafood-exports,,US
Mark Zuckerberg tells staff to stop defacing Black Lives Matter slogans,http://www.theguardian.com/technology/2016/feb/25/mark-zuckerberg-facebook-defacing-black-lives-matter-signs,,Facebook
Bank of England chief denies central banks have 'run out of ammunition',http://www.theguardian.com/business/2016/feb/26/bank-of-england-chief-accuses-g20-of-failing-to-enact-reforms-to-boost-growth,,G20 meeting
"Survivors face long-term neurological problems, researchers find",http://www.theguardian.com/global-development/2016/feb/25/ebola-survivors-face-long-term-neurological-problems-researchers-find,,Ebola
"Lab-created sperm breeds healthy mice, raising hopes for end to male infertility",https://www.theguardian.com/science/2016/feb/25/lab-created-sperm-breeds-healthy-mice-raising-hopes-for-end-to-male-infertility,,Science
Threat to babies may be greater than thought after virus found in stillborn girl,http://www.theguardian.com/world/2016/feb/25/zika-threat-to-babies-may-be-greater-than-thought-after-virus-found-in-stillborn-girl,,Zika
How the changing media is changing terrorism,http://www.theguardian.com/world/2016/feb/25/how-changing-media-changing-terrorism," Just like news organisations, terrorists need an audience – and both have adapted their tactics",Fighting for attention
Five myths explored,http://www.theguardian.com/global-development/datablog/2016/feb/25/democracy-in-african-countries-five-myths-explored,Is Africa an undemocratic continent ruled by autocratic old men who pay lip service to the wishes of the people who elected them?,Democracy in African countries
What is required to make a truly creative city?,http://www.theguardian.com/artanddesign/2016/feb/25/art-month-sydney-2016-what-is-required-to-make-a-truly-creative-city,"The annual art festival contemplates the essence of artistic ecosystems, opens the city’s smallest gallery and offers festivalgoers a flower-inspired menu ",Art Month Sydney 2016
The black winners that got away,http://www.theguardian.com/film/2016/feb/25/the-black-oscar-wins-that-got-away,The shadow of possible Academy prejudice has loomed large over this year’s awards. So which black actors were unjustly snubbed? Whose great performance went unrewarded? The Guardian’s chief film critic on the ones that got away,Oscars
"In the NT, can you really tell if someone has air-con just by looking at them?",http://www.theguardian.com/australia-news/audio/2016/feb/25/behind-the-lines-podcast-in-the-nt-can-you-really-tell-if-someone-has-air-con-just-by-looking-at-them,"Guardian Australia’s Darwin correspondent, Helen Davidson, talks about reporting from the Northern Territory, where silly antics dominate politics and Indigenous culture is extremely strong",Behind the Lines podcast
Cult classic speaks to contemporary Australia,http://www.theguardian.com/stage/2016/feb/25/little-shop-of-horrors-review-black-comedy-triumph-thrusts-cult-classic-into-contemporary-australia,"With their thrilling revival, Dean Bryant and his team make US musicals devastatingly relevant to local audiences",Little Shop of Horrors
